IDSong,F0010,F0011,F0013,F0021,F0109,F0110,F0113,F0116,F0121,F0133,F0136,F0151,F0155,F0246,F0247,F0251,F0328,F0404,F0406,F0407,F0437,F0438,F0466,F0469,F0507,F0525,F0526,F0529,F0753,F0770,F0772,F0776,F0778,F0782,F0891,F0897,F0899,F0905,F0909,F0911,F0917,F0923,F0927,F0945,F0946,F0958,F1053,F1059,F1065,F1071,F1077,F1089,F1090,F1096,F1101,F1151,F1152,F1166,F1194,F1419,F1441,F1455,F1469,F1475,F1483,F1486,F1489,F1497,F1537,F1550,F1574,ORIGINAL-EXPRESSIVE_TECHNIQUES-Glissando Extent (Std),ORIGINAL-EXPRESSIVE_TECHNIQUES-Glissando Length (Std),ORIGINAL-EXPRESSIVE_TECHNIQUES-Glissando Slope (Std),ORIGINAL-EXPRESSIVE_TECHNIQUES-Glissando Direction (Up),ORIGINAL-TEXTURE-Musical Layers (Mean),ORIGINAL-TEXTURE-Musical Layers (Max),ORIGINAL-TEXTURE-Musical Layers (Std),ORIGINAL-TEXTURE-ML1-Monophonic Texture (Percentage),ORIGINAL-TEXTURE-State Transitions ML1 -> ML0 (Per Sec),ORIGINAL-TEXTURE-State Transitions ML1 -> ML2 (Per Sec),ORIGINAL-TEXTURE-State Transitions ML2 -> ML3 (Per Sec),ORIGINAL-EXPRESSIVE_TECHNIQUES-ART-Other Notes Duration (Mean),ORIGINAL-EXPRESSIVE_TECHNIQUES-Tremolo Notes in Cents (Mean),ORIGINAL-EXPRESSIVE_TECHNIQUES-Tremolo Notes in Cents (Max),ORIGINAL-EXPRESSIVE_TECHNIQUES-Tremolo Notes in Cents (Min),ORIGINAL-EXPRESSIVE_TECHNIQUES-Tremolo Higher Notes Coverage (C4+),ORIGINAL-EXPRESSIVE_TECHNIQUES-Vibrato Rate (Std),ORIGINAL-EXPRESSIVE_TECHNIQUES-Vibrato Rate (Kurtosis),ORIGINAL-EXPRESSIVE_TECHNIQUES-Vibrato Extent (Std),ORIGINAL-EXPRESSIVE_TECHNIQUES-Vibrato Extent (Kurtosis),ORIGINAL-EXPRESSIVE_TECHNIQUES-Vibrato Length (Kurtosis),ORIGINAL-EXPRESSIVE_TECHNIQUES-Vibrato Length (Skewness),ORIGINAL-EXPRESSIVE_TECHNIQUES-Vibrato Base Freq (Min),ORIGINAL-EXPRESSIVE_TECHNIQUES-Vibrato Base Freq (Std),ORIGINAL-EXPRESSIVE_TECHNIQUES-Vibrato Base Freq (Kurtosis),ORIGINAL-EXPRESSIVE_TECHNIQUES-Vibrato Higher Notes Coverage (C4+),ORIGINAL-EXPRESSIVE_TECHNIQUES-Vibrato to Non Vibrato Notes Ratio,ORIGINAL-VAT-Probability of Creaky Voice (Skewness),VOICE-TEXTURE-State Transitions ML0 -> ML1 (Per Sec),Quadrant,Energy,Valence,Accouticness,Instrumentalness,Key,Speechiness,Loudness,Liveness,Mode,Tempo,Time_signature,Danceability
MT0003788939,169.69,8.1048,2692.2,3.1436,0.1627,-1.069,0.027619,0.69233,932.99,1.0469,7.4852,0.06761,0.50669,0.45579,0.029764,0.27804,0.7666,0.20724,3.1407,1.2076,5.6353,1.398,0.056904,0.61514,0.3362,3.1055,1.9195,12.859,0.22184,0.26384,0.062386,0.37978,0.063149,0.5561,0.54115,0.5025,-0.010596,-0.030986,0.49919,-0.0051304,-0.12787,-0.13072,0.4663,0.49167,0.16179,0.13741,3.2257,3.3948,3.7448,4.2087,4.1225,4.5895,2.0626,1.9477,4.5453,37.021,36.802,3350600,2.5431,0.27435,-0.69858,-1.4324,-0.36004,0.10461,2.079,3.0221,0.26262,0.46182,0.0063713,0.19893,-0.94286,122.84,0.055981,1778.5,0.42857,1.7324,5,0.95498,0.35483,0.53209,1.8956,1.4633,0.28444,5830,6505.5,5002.7,0.46059,1.0133,1.3125,25.506,2.1799,2.8066,0.92639,5006.8,209.72,4.7729,0.90426,0.21429,-1.3959,1.3974,Q1,0.901,0.684,0.086,0,0,0.0395,-3.568,0.0761,1,116.042,4,0.772
MT0003794106,141.85,3.6816,1707.9,1.7725,0.10088,-0.3539,0.3261,1.7939,667.17,0.41657,2.0483,0.040282,0.71232,0.4587,0.025126,0.26883,0.6755,0.19371,3.2057,1.1355,5.0568,0.51875,0.052209,0.25764,0.35319,1.938,1.2609,5.4772,0.20718,0.35773,0.048228,0.48867,0.05086,0.71179,0.53427,0.53942,-0.19738,-0.02909,0.43337,0.18859,0.10061,0.11822,0.44072,0.48452,0.14948,0.15369,3.4883,3.745,3.7831,4.1494,4.32,4.5661,1.6976,1.9653,5.2609,29.933,30.191,3322900,2.039,0.2104,-0.73335,-1.2386,-1.8638,0.11016,1.9279,0.72706,0.072706,0.60577,0.0032925,0.23799,-0.83737,102.73,0.051346,1028.8,0.85714,1.5917,5,0.84426,0.3973,0.79814,1.9621,1.1972,0.31079,6145.5,6796.9,5251.4,0.58785,1.2571,1.2569,12.611,3.4915,1.7665,0.34037,4407.7,299.49,1.9718,0.26452,0.21053,-0.16205,1.2976,Q1,0.736,0.888,0.0114,0.0101,1,0.0418,-9.362,0.354,1,88.383,4,0.673
MT0003863509,130.54,3.682,1559.9,2.3744,0.12906,0.40152,0.17371,0.87504,515.79,0.56611,3.7416,0.046498,0.6944,0.40321,0.060144,0.19509,0.86835,0.07777,2.8996,1.2139,4.8489,1.1846,0.056826,0.3455,0.18762,4.603,1.6609,9.1926,0.20577,0.3303,0.058607,0.46969,0.064292,0.53506,0.47817,0.43244,0.17253,0.23303,0.4129,0.28656,0.30155,0.43803,0.33617,0.35117,0.18384,0.20041,3.6674,3.9174,4.3817,5.1185,5.0819,6.4277,2.8007,3.0375,7.968,19.619,20.063,817590,2.1282,0.17647,-0.60572,-0.265,-1.8195,0.096809,1.5285,1.0705,0.1476,0.70488,1.58E-05,0.25547,-0.89958,90.483,0.044108,758.15,0.6,2.4726,6,1.3513,0.27568,0.39907,1.4965,0.89791,0.44634,5153.5,6471.5,4537.5,0.2949,0.86845,3.0856,19.823,2.3291,2.7701,0.89198,3845.6,498.15,3.1861,0.51935,0.21569,0.34967,0.89832,Q3,0.37,-0.092,0.426,3.84E-05,2,0.0359,-13.969,0.157,1,109.588,4,0.698
MT0003903675,103.08,2.2424,1008,4.1469,0.091694,-0.1906,0.25913,0.69174,513.83,0.40624,2.5813,0.03796,0.70706,0.4505,0.02797,0.3336,0.71997,0.10652,2.3535,0.85487,4.8389,0.69734,0.055685,0.25024,0.2365,3.3085,1.0684,7.4594,0.22197,0.35815,0.039508,0.47762,0.040377,0.66031,0.54191,0.50372,-0.049778,-0.035005,0.46631,0.048597,-0.013395,0.01464,0.45253,0.46375,0.15173,0.1543,3.4491,3.5313,3.9707,4.2043,4.2468,4.9471,1.9796,1.8793,5.253,30.097,29.789,1308300,2.6141,0.15336,-1.251,-0.97536,-1.6109,0.11892,1.7749,1.1492,0.095762,0.087846,0.0080801,0.19153,-1.0986,4.9489,0.024628,834.48,0.5,1.7042,4,0.86006,0.43726,0.36581,2.2281,1.3302,0.28396,5537.3,6538.2,4667,0.38604,0.72575,1.9508,8.716,2.5519,1.6917,0.46864,4609.4,235.19,1.8717,0.68843,0.225,-0.88193,1.231,Q1,0.975,-0.118,0.185,0.00924,10,0.0796,-8.732,0.46,1,169.424,4,0.287
MT0003930610,75.375,0.45215,402.94,2.4413,0.04065,1.7981,0.045934,1.0165,151.83,0.56982,5.0025,0.038883,0.5418,0.43225,0.040666,0.30947,0.54452,0.019434,1.7176,0.58799,6.0819,0.91516,0.067045,0.46545,0.034761,7.1125,0.85854,10.036,0.10021,0.20727,0.066793,0.32073,0.041639,0.66754,0.56879,0.4171,0.39993,0.69567,0.47456,0.089463,0.34719,-0.24181,0.5779,0.56402,0.11452,0.13858,3.4468,4.4015,3.426,3.2957,3.4074,3.7265,1.1168,1.2299,5.5019,1.3825,8.6406,42248,15.418,0.12059,-1.2049,-2.1806,-0.98106,0.0885,0.86815,3.2484,0.37688,1.1649,0.01067,0.23262,-1.0184,33.5,0.012084,1823,0.66667,2.8046,5,0.83284,0.039382,0.033256,0.56535,2.3612,0.65234,4220.9,4897,3896,0.023138,0,0,0,0,0,0,0,0,0,0,0,-1.0175,0.19963,Q3,0.331,-0.899,0.848,0.955,7,0.0385,-15.755,0.148,0,86.632,3,0.204
MT0003935485,118.66,3.3709,1497,1.8059,0.13489,1.3577,0.044011,1.5991,766.39,1.0372,6.0194,0.083977,0.49868,0.39979,0.068865,0.18755,0.60257,0.15061,3.0048,1.193,6.1033,1.4778,0.13236,0.67174,0.12432,6.0855,1.8834,10.608,0.14997,0.2646,0.070202,0.37551,0.073927,0.53356,0.54496,0.4026,0.09123,0.16496,0.38208,-0.022864,-0.19713,-0.10072,0.42727,0.45148,0.17073,0.14629,4.493,3.3471,3.6844,4.6181,5.1711,5.1294,2.3436,2.1134,4.6331,17.507,14.941,156390,6.9441,0.21009,-0.19004,0.024308,-0.80747,0.077291,1.5675,1.8441,0.36694,1.2057,0.001666,0.38834,-0.42145,111.5,0.064468,688.79,0.25,2.5716,6,1.2176,0.19073,0.16628,0.96442,1.2305,0.91864,4508.4,6987,3044.9,0.06855,0.87414,1.6731,6.4431,1.1627,1.0011,0.00080343,4198.5,1395.2,2.3333,0.20488,0.18182,-0.45613,0.89832,Q3,0.231,-0.924,0.581,0.343,5,0.0351,-18.565,0.475,1,159.323,3,0.516
MT0003949060,143.17,2.0987,1268.8,3.2774,0.1193,0.57779,0.08091,0.72826,715.21,0.71835,4.9269,0.063574,0.6337,0.43737,0.037391,0.28332,1.0356,0.088777,3.2369,1.1747,5.1344,0.65006,0.082498,0.35093,0.078557,5.1834,1.2613,9.4342,0.13573,0.31809,0.057616,0.42581,0.053029,0.6496,0.54667,0.52295,-0.16343,-0.010829,0.46701,0.024683,0.11031,0.12429,0.41357,0.43279,0.15996,0.16329,3.2371,3.7104,4.1261,4.5431,4.2537,5.0508,2.0757,2.2563,5.5433,26.686,25.58,493210,7.4631,0.2057,-0.71045,-0.72167,-1.6385,0.085912,1.5649,1.6093,0.1954,0.86478,0.0030465,0.27762,-0.85888,79.086,0.054542,468.87,1,3.2672,7,1.2934,0.07278,0.19954,1.1972,2.0951,0.35333,4799.4,5232.6,3796.9,0.27748,1.2575,1.5142,12.785,2.1225,1.7983,0.35323,4368.2,316.36,1.5746,0.39659,0.15152,-0.67727,1.098,Q1,0.553,0.476,0.804,0.000866,0,0.0376,-8.851,0.139,1,87.608,4,0.633
MT0003968586,58.627,0.35279,345.2,3.8793,0.058151,-0.063007,0.52756,0.65407,328.27,0.14672,1.4768,0.023697,0.80703,0.46697,0.020045,0.40344,0.37487,0.10804,1.7001,0.50706,4.5074,0.2994,0.045842,0.09816,0.35467,0.85866,0.59133,3.3153,0.2391,0.49604,0.022654,0.63985,0.022261,0.78147,0.64026,0.63213,-0.35871,-0.32273,0.6188,-0.29636,-0.19573,-0.026507,0.56377,0.5679,0.10773,0.10529,2.6799,2.8401,3.1041,3.3139,3.3166,3.798,1.109,1.3881,4.2292,35.417,40.039,2881600,1.7299,0.117,-1.4273,-2.289,-2.0456,0.18499,1.7323,0.66849,0.03059,-0.26757,0.016795,0.18602,-1.2049,0,0,0,0,0.79691,3,0.60479,0.61274,0.39907,0.56535,0.099768,0,6266.2,6936.3,5680.8,0.53884,0,0,0,0,0,0,0,0,0,0,0,-1.5924,0.73197,Q2,0.874,-0.845,1.32E-05,0.0997,9,0.0606,-6.121,0.178,1,119.739,3,0.188
MT0004028719,273.64,1.8775,2520.6,2.8092,0.15676,0.24849,0.069962,1.1451,848.24,0.73887,4.8582,0.074004,0.5457,0.44704,0.036443,0.29454,0.61648,0.16878,3.9432,1.44,6.1327,0.64248,0.072211,0.36952,0.13231,3.764,1.5739,9.2364,0.12474,0.31287,0.054617,0.5028,0.052142,0.61095,0.5641,0.54371,-0.19658,-0.23791,0.53893,-0.18407,-0.2687,-0.13389,0.5065,0.50045,0.15047,0.15536,3.0702,3.1845,3.5368,3.8545,3.8963,4.5089,1.7895,2.0514,5.1209,18.196,22.465,855360,5.7906,0.26637,-0.21799,-0.96107,-0.94753,0.094866,2.5881,2.284,0.31153,1.6778,0.0087875,0.24173,-0.59777,220.62,0.11493,399.54,0,1.4749,6,0.97187,0.42471,1.4965,2.1284,1.0642,0.4785,4422.4,5817.4,3522.7,0.086526,0,0,0,0,0,0,4691.1,0,0,0,0.034483,-0.90712,1.6968,Q2,0.522,0.542,0.0846,3.24E-05,0,0.0874,-13.277,0.0729,1,115.267,4,0.844
MT0004036096,99.493,1.9603,1006.3,2.5416,0.11653,-0.25285,0.15262,2.0585,597.95,0.57602,3.3635,0.05098,0.67214,0.43449,0.058339,0.19474,0.64257,0.093369,2.6486,0.95391,4.9797,1.1325,0.054857,0.37964,0.18015,3.6966,1.4685,7.3095,0.18011,0.37921,0.045906,0.49221,0.035795,0.65019,0.42274,0.36385,0.43103,0.3309,0.36465,0.52048,0.48783,0.65984,0.33044,0.26068,0.17532,0.18756,3.6438,3.9152,4.2401,4.8045,5.1521,7.0574,2.5652,2.6214,6.9305,20.681,21.38,1066000,3.3801,0.18185,-0.46773,-0.54852,-1.5798,0.086594,1.016,1.5525,0.22538,1.3508,0.0040147,0.24559,-1.0912,80.986,0.16685,939.12,0.71429,2.2056,8,1.2344,0.36062,0.033256,1.164,1.2637,0.59888,5161.3,5308.9,4826.1,0.35671,0.80619,2.8898,13.811,7.5379,5.6069,1.9422,4495.7,220.24,6.4784,0.70383,0.43243,-0.94943,1.0314,Q4,0.501,0.154,0.146,0.841,5,0.0378,-9.87,0.528,1,137.548,3,0.362
MT0004037272,202.16,1.9693,1568.5,3.6787,0.14466,0.49667,0.072892,1.1786,1108.6,0.96245,5.0209,0.07696,0.52694,0.40327,0.065473,0.1868,0.78525,0.15497,4.2854,1.4329,5.1505,1.007,0.10144,0.37725,0.13394,5.0664,1.7053,9.6793,0.1562,0.29226,0.10403,0.35951,0.061207,0.65598,0.31822,0.35975,0.51944,0.31145,0.37148,0.31362,0.28973,0.61859,0.32003,0.34767,0.18631,0.16835,3.6709,3.8685,4.7475,5.4146,4.852,6.0338,2.6509,2.6821,5.9654,25.786,23.917,586880,5.6771,0.26918,-0.61935,-0.94958,-0.73744,0.052282,2.7758,2.3591,0.3036,0.98874,0.0070159,0.29132,-0.78095,184.42,0.12718,1517.3,0.5,1.7251,5,0.92826,0.36641,1.1307,2.6272,2.2281,0.30379,4628.1,5967.8,4053.1,0.22766,1.2572,1.8307,14.407,3.5662,2.0231,0.38267,4298.9,336.08,1.9638,0.37456,0.16,0.087875,2.1294,Q1,0.56,0.922,0.726,1.61E-06,0,0.0547,-8.93,0.12,1,112.389,4,0.766
MT0004068560,65.162,0.53409,420.12,6.1616,0.046334,0.080139,0.5201,0.39221,294.17,0.16362,1.349,0.019612,0.84205,0.47081,0.020276,0.39334,0.48043,0.108,1.5105,0.63067,4.0571,0.33849,0.039255,0.12933,0.35969,1.1281,0.71783,3.212,0.22166,0.48536,0.02507,0.65301,0.023847,0.79494,0.55697,0.61333,-0.27203,-0.37455,0.54263,-0.042433,-0.2044,-0.1561,0.5429,0.53235,0.11652,0.10225,3.0571,3.0623,3.1239,3.5573,3.6555,4.1038,1.2767,1.3365,4.2039,40.479,43.684,3351800,1.8345,0.11571,-2.9829,-3.3035,-3.2868,0.1287,1.6543,0.6298,0.03125,-1.2812,0.018202,0.1237,-1.5871,0,0,0,0,1.2899,4,0.78591,0.57692,0.26636,1.2652,0.76577,0.28851,6098.7,6973.1,5455.1,0.53664,0,0,0,0,0,0,0,0,0,0,0,-5.2481,0.9992,Q2,0.973,-0.322,5.09E-06,0.921,1,0.172,-4.524,0.695,1,110.049,4,0.485
MT0004082588,90.98,0.95046,603.17,1.5384,0.16209,-0.026761,0.053407,1.5036,578.78,0.77393,5.6388,0.082972,0.45558,0.29648,0.073042,0.11419,0.77157,0.071529,2.4679,0.97849,8.4975,1.7957,0.08719,0.53296,0.11553,6.201,1.9939,10.929,0.13782,0.25293,0.070907,0.36537,0.039865,0.68396,0.34683,0.33717,0.64271,0.78662,0.34241,0.53804,0.30151,0.43435,0.36926,0.31506,0.1721,0.1923,3.8313,3.908,4.7006,4.924,5.0712,6.5113,2.438,3.0286,10.04,4.6448,6.228,406560,5.1977,0.23593,0.11647,0.040101,-1.0152,0.097928,3.12,2.4987,0.20284,1.6984,0.0029963,0.53196,0.083077,135.8,0.0832,2093.8,0.63636,1.3649,3,0.60735,0.61853,0.16628,0.93117,0.53209,0.82431,4863.6,5152.9,4509,0.14967,0.83132,1.9835,17.605,2.6779,1.315,0.24688,4312.6,252.61,1.7603,0.35667,0.35714,0.80045,0.43253,Q3,0.359,-0.837,0.964,0.000208,10,0.0906,-12.998,0.725,1,126.457,4,0.247
MT0004085907,158.07,3.6834,1878.5,3.2439,0.11658,0.17648,0.30214,1.1271,645.7,0.47358,2.1205,0.040384,0.75257,0.45236,0.029721,0.32016,0.55832,0.18662,3.2169,1.1939,4.5168,0.48567,0.049398,0.30024,0.30297,2.5879,1.2934,6.5643,0.22056,0.38239,0.049522,0.48713,0.057603,0.65802,0.56769,0.55893,-0.23773,-0.2501,0.55588,-0.2691,-0.28215,-0.19918,0.50716,0.49385,0.16451,0.15103,2.9768,3.1843,3.6238,3.8821,4.0249,4.5673,1.9411,2.1921,5.1586,31.94,33.858,1992300,2.4366,0.23161,-0.72383,-0.44152,-0.96178,0.18787,1.9744,1.0365,0.095298,0.49059,0.015417,0.16209,-1.2483,245.64,0.056863,1711.7,0.14286,1.4432,4,0.90314,0.43417,1.0642,2.5607,1.1972,0.18783,6246.1,7316.1,5453.6,0.57801,0,0,0,0,0,0,4748.4,0,0,0,0.035714,-0.94573,2.0628,Q2,0.915,0.218,0.0527,0,0,0.0639,-11.344,0.384,1,95.452,4,0.765
MT0004089549,115.8,2.5419,1223,1.7725,0.10975,0.63342,0.082826,1.27,463.15,0.577,4.7944,0.044816,0.60076,0.41579,0.056709,0.23987,0.79467,0.061651,2.7666,0.9802,5.8879,1.0556,0.06543,0.47968,0.12562,6.0308,1.3456,10.294,0.18504,0.30904,0.06544,0.41911,0.048882,0.60766,0.38173,0.40203,0.57273,0.62043,0.27435,0.77544,0.83879,1.0493,0.28339,0.27797,0.16905,0.15105,4.2427,3.9211,4.7951,5.2171,5.7956,7.0114,2.8401,3.4116,9.1954,13.71,12.235,365370,4.1214,0.15727,-0.22209,-0.49216,-1.2066,0.074687,1.1103,1.0289,0.20232,1.0755,0.0017957,0.24135,-0.44514,89.129,0.044249,1112.1,0.69231,3.6033,8,1.394,0.060425,0.099768,0.53209,1.3302,0.68047,5128.1,6531.2,4427.3,0.25272,0.93537,3.6482,14.124,1.5613,6.7567,2.1996,4135,690.7,2.9227,0.59196,0.2439,0.41313,0.56561,Q4,0.379,-0.314,0.805,0.00345,5,0.0355,-11.746,0.125,1,171.279,3,0.521
MT0004093767,113.75,1.8798,1149.4,0.80262,0.075752,1.4183,0.052675,2.7855,470.14,0.86042,5.4101,0.058939,0.4764,0.33003,0.047506,0.23176,0.72588,0.080737,2.7503,1.0098,5.9333,1.0274,0.11509,0.47761,0.072993,7.6197,1.2393,11.194,0.14646,0.26846,0.069994,0.36232,0.08295,0.54532,0.42952,0.40312,0.22445,0.46332,0.23298,0.93017,0.47902,0.59586,0.30528,0.45477,0.17982,0.13459,5.3492,4.2189,4.7677,5.3245,7.2179,5.0557,2.4231,2.8955,4.8768,8.5587,7.6266,109080,9.2575,0.17052,-0.028374,-0.4198,-0.57837,0.10366,0.59524,1.7246,0.24361,2.2327,2.48E-05,0.32759,-0.4671,67.727,0.14015,216.37,0.5,4.2485,9,1.4322,0.019498,0.033256,0.26605,0.93117,0.59907,5371.7,6606.6,4395.2,0.32358,1.199,1.2705,18.46,1.8785,2.7535,1.0033,5897,517.52,1.6431,1,0.12195,-0.71836,0.89832,Q4,0.255,-0.716,0.948,0.935,1,0.0299,-18.272,0.112,1,73.542,4,0.433
MT0004122617,139.91,1.4183,1078.6,3.3443,0.15064,0.38026,0.14099,0.37923,1014.8,0.6978,3.3716,0.060685,0.6153,0.38899,0.071721,0.14429,0.76593,0.19249,3.2631,1.3268,5.0631,0.93646,0.063352,0.44565,0.22448,3.7544,1.6349,8.4139,0.17235,0.32065,0.079578,0.37313,0.072775,0.57534,0.42978,0.48993,-0.17915,0.11523,0.45039,-0.0099792,0.1286,0.35561,0.33409,0.3138,0.18158,0.18116,3.4468,3.8552,4.5737,5.0445,5.0359,6.8903,3.0657,3.3119,6.7243,28.379,30.047,1485400,3.4545,0.2841,-1.0441,-0.36485,-1.0182,0.092202,2.1291,1.3191,0.14785,0.3106,0.0030247,0.25888,-0.93749,99.686,0.054977,1275.4,0.38462,2.1268,6,1.0559,0.24479,0.53209,2.3279,2.6272,0.28481,4622.8,5382.4,3985.5,0.31634,0.91526,1.9485,14.201,1.5964,3.871,1.4258,3938.6,491.25,1.6521,0.32203,0.19231,-0.13598,1.9297,Q1,0.582,0.368,0.138,0,2,0.207,-6.22,0.0621,1,95.542,4,0.65
MT0004131058,227.81,1.0883,1810.3,2.4413,0.11388,0.70149,0.089291,1.1553,397.8,0.46075,3.8083,0.044054,0.62237,0.37151,0.063406,0.2102,0.72926,0.069608,3.0659,1.0304,7.44,1.0637,0.055467,0.32575,0.13613,4.892,1.4083,8.2382,0.17868,0.31688,0.052607,0.45721,0.061298,0.61721,0.49252,0.42726,0.25125,0.5233,0.35751,0.6614,0.77093,0.97383,0.30108,0.35337,0.20137,0.20134,4.0646,4.2892,4.8252,5.3837,5.544,5.894,2.7938,2.9932,6.2858,13.983,17.56,541050,3.9517,0.22222,-0.73932,-1.8208,-1.314,0.084509,1.4128,2.6157,0.25862,1.2016,0.0072336,0.26061,-0.8294,311.66,0.09276,1300.2,0.57143,2.5492,6,1.2789,0.17355,0.43233,1.0974,2.1616,0.52894,5110.7,5594.6,4277.8,0.26807,0.80606,2.8553,16.797,2.5709,6.9112,2.3184,4598.3,316.86,3.3648,0.68977,0.18519,-0.16658,0.83178,Q3,0.992,-0.35,0.257,0.251,7,0.203,-2.677,0.678,1,117.038,4,0.555
MT0004141823,223.61,4.4398,2768.1,2.5751,0.10469,-0.67082,0.26736,1.1818,607.26,0.36494,2.1843,0.043457,0.7024,0.45459,0.037791,0.25569,0.661,0.1822,4.3206,1.0106,5.555,0.43256,0.038988,0.2124,0.35468,2.1272,1.0979,6.0466,0.21564,0.3639,0.05704,0.46308,0.039916,0.73491,0.48786,0.47102,-0.014193,-0.26208,0.49767,-0.12716,-0.091992,-0.077572,0.43678,0.44451,0.19062,0.16819,3.2018,3.5135,3.9811,4.4425,4.3763,5.2137,2.5078,2.4053,5.4563,23.916,25.239,3463700,2.0696,0.22746,-0.39169,-1.9523,-0.9378,0.093885,2.3361,1.4684,0.11691,1.6364,0.0069113,0.20607,-0.60166,63.924,0.048885,526.58,0.75,1.377,4,0.88176,0.41873,1.2305,2.1616,1.297,0.27231,6074,7124.2,5050.7,0.48782,1.377,1.0974,20.293,1.9035,1.2968,0.22706,5004.8,185.3,2.1564,1,0.15385,-0.71548,1.6968,Q1,0.874,0.718,0.141,0.0584,2,0.0474,-7.157,0.112,1,123.179,4,0.782
MT0004274911,191.71,5.944,2471.5,3.0433,0.13815,0.89979,0.09201,1.4057,775.83,0.81439,4.7244,0.067589,0.60331,0.43082,0.045637,0.23225,0.83161,0.11139,3.9537,1.5382,5.2635,0.78704,0.093148,0.41254,0.08816,5.502,1.6822,9.829,0.13986,0.28368,0.067555,0.42001,0.06718,0.60771,0.50034,0.45993,0.14841,-0.032256,0.49657,-0.099432,-0.049087,0.028365,0.46229,0.43628,0.20256,0.16799,3.2045,3.6473,4.6973,4.2195,4.1613,5.6131,3.2949,3.3819,5.6555,27.059,24.48,364390,7.581,0.2332,-0.34749,-0.17566,-0.79644,0.082506,1.5558,2.3426,0.41112,1.392,0.0044795,0.24396,-0.6095,154.62,0.09246,1511.8,0.54545,2.0656,6,1.168,0.25154,0.76489,1.7958,1.9288,0.39522,4413.5,4995.4,3600.6,0.056866,1.4251,1.1826,19.031,2.7796,1.2739,0.12703,4275.3,648.33,3.4075,0.29779,0.13043,-0.29233,1.5305,Q4,0.645,-0.004,0.395,0.0178,0,0.0843,-5.843,0.135,1,80.528,4,0.615
MT0004290389,134.19,2.2152,1394.9,1.4779,0.091477,1.7465,0.028038,1.7446,446.93,0.85939,6.6885,0.056496,0.52095,0.40148,0.057232,0.20795,0.77617,0.10837,2.7077,0.95963,6.1812,0.89736,0.093587,0.53496,0.064106,5.9274,1.2358,9.1584,0.12137,0.18777,0.056117,0.41531,0.052452,0.42652,0.58616,0.56377,-0.12231,-0.24072,0.50975,-0.088341,-0.31406,-0.10534,0.45814,0.38472,0.20531,0.19498,3.2463,3.4797,4.0048,4.1291,4.374,5.5431,2.5018,3.0234,6.4276,4.4943,13.713,139570,7.9649,0.17091,-0.41528,0.37486,-0.35036,0.10445,0.97941,2.3685,0.33417,1.9616,0.00088342,0.28384,-0.57705,144.57,0.063422,844.88,0.16667,3.2526,7,1.5107,0.11012,0.26718,1.2357,1.3693,0.52593,3852.1,4398.7,3397,0,0.96518,2.1326,20.349,1.2713,2.0381,-0.41185,4074.5,580.94,2.207,0.21384,0.14286,-0.89471,0.90168,Q3,0.44,-0.58,0.296,0.0418,10,0.0354,-9.54,0.109,0,104,4,0.141
MT0004331116,96.755,0.9959,753.54,0.96983,0.11341,2.028,0.046715,2.7779,572.01,1.1152,6.2335,0.05522,0.52906,0.37219,0.059942,0.22242,0.79349,0.063298,2.9974,0.9453,6.2735,2.1609,0.10154,0.63415,0.091063,7.7643,2.2649,11.925,0.14017,0.27345,0.083408,0.41425,0.082085,0.55486,0.50818,0.35451,0.6008,0.30915,0.37051,0.42764,0.92994,0.84861,0.2991,0.26009,0.17828,0.19738,3.55,4.1299,5.2616,5.5757,5.5133,7.1247,2.8325,4.1164,7.9316,-0.48275,-1.4007,100710,4.4528,0.23498,0.65224,1.5896,-0.33087,0.093783,1.0887,1.5366,0.25481,2.6049,0.00063696,0.28357,-0.10725,41.291,0.19819,1494.9,0.5,3.5952,9,1.4218,0.062741,0.033256,0.26605,0.49884,0.88284,5002.4,5700.3,4106.3,0.29659,1.3416,1.5988,5.8654,2.0273,3.3291,1.2378,5309.8,501.4,1.5303,0.44909,0.15385,-1.0286,0.56561,Q4,0.141,-0.636,0.764,0.0141,5,0.0309,-13.015,0.0847,1,60.978,4,0.363
MT0004339430,173.81,1.5755,1207,2.5416,0.1411,0.34354,0.11016,0.68082,474.62,0.65384,3.9794,0.037634,0.6341,0.43365,0.054528,0.19538,0.75085,0.1075,4.1581,1.4869,5.6163,1.1818,0.059308,0.49819,0.18612,4.671,1.9068,10.243,0.1669,0.29965,0.057873,0.45348,0.048677,0.62027,0.56132,0.50368,-0.049631,-0.032115,0.4692,-0.01074,0.00077542,-0.040346,0.42027,0.3505,0.19562,0.18584,3.5031,3.7065,4.2451,4.6635,5.0644,6.3284,2.7747,3.3184,7.6026,2.5286,17.799,759900,2.4433,0.2008,-0.31722,0.046737,-1.0156,0.095319,1.4184,1.7944,0.28247,1.1667,0.011728,0.18809,-0.51179,69.229,0.074249,703.33,0.3,1.6114,5,0.95957,0.44151,1.0309,2.1284,1.3967,0.30999,5910.8,6487,4703.8,0.37464,0.48466,1.8547,26.091,1.6714,2.8192,1.0802,5760.7,252.58,2.2418,0.74176,0.16667,-2.3247,1.8965,Q1,0.529,0.172,0.557,0.954,6,0.198,-12.514,0.0698,1,116.306,4,0.642
